,id,title,release_date,vote_average,vote_count
6854,13,Forrest Gump,1994-06-23,8.5,24678
6855,122,The Lord of the Rings: The Return of the King,2003-12-01,8.5,21605
6856,995133,"The Boy, the Mole, the Fox and the Horse",2022-12-25,8.5,327
6857,769,GoodFellas,1990-09-12,8.5,11263
6858,372754,Dou kyu sei – Classmates,2016-02-20,8.5,306
6859,704264,Primal: Tales of Savagery,2019-11-21,8.5,264
6860,238,The Godfather,1972-03-14,8.7,17965
6861,278,The Shawshank Redemption,1994-09-23,8.7,23805
6862,240,The Godfather Part II,1974-12-20,8.6,10843
6863,772071,Cuando Sea Joven,2022-09-14,8.5,236
6864,19404,Dilwale Dulhania Le Jayenge,1995-10-19,8.6,4132
6865,424,Schindler's List,1993-12-15,8.6,14078
6866,129,Spirited Away,2001-07-20,8.5,14314
6867,389,12 Angry Men,1957-04-10,8.5,7280
6868,372058,Your Name.,2016-08-26,8.5,9854
6869,496243,Parasite,2019-05-30,8.5,15751
6870,155,The Dark Knight,2008-07-14,8.5,29734
6871,497,The Green Mile,1999-12-10,8.5,15416
6872,680,Pulp Fiction,1994-09-10,8.5,25189
6873,429,"The Good, the Bad and the Ugly",1966-12-23,8.5,7403
6874,13,Forrest Gump,1994-06-23,8.5,24678
6875,122,The Lord of the Rings: The Return of the King,2003-12-01,8.5,21605
6876,995133,"The Boy, the Mole, the Fox and the Horse",2022-12-25,8.5,327
6877,769,GoodFellas,1990-09-12,8.5,11263
6878,372754,Dou kyu sei – Classmates,2016-02-20,8.5,306
6879,704264,Primal: Tales of Savagery,2019-11-21,8.5,264
6880,238,The Godfather,1972-03-14,8.7,17965
6881,278,The Shawshank Redemption,1994-09-23,8.7,23805
6882,240,The Godfather Part II,1974-12-20,8.6,10843
6883,772071,Cuando Sea Joven,2022-09-14,8.5,236
6884,19404,Dilwale Dulhania Le Jayenge,1995-10-19,8.6,4132
6885,424,Schindler's List,1993-12-15,8.6,14078
6886,129,Spirited Away,2001-07-20,8.5,14314
6887,389,12 Angry Men,1957-04-10,8.5,7280
6888,372058,Your Name.,2016-08-26,8.5,9854
6889,496243,Parasite,2019-05-30,8.5,15751
6890,155,The Dark Knight,2008-07-14,8.5,29734
6891,497,The Green Mile,1999-12-10,8.5,15416
6892,680,Pulp Fiction,1994-09-10,8.5,25189
6893,429,"The Good, the Bad and the Ugly",1966-12-23,8.5,7403
6894,13,Forrest Gump,1994-06-23,8.5,24678
6895,122,The Lord of the Rings: The Return of the King,2003-12-01,8.5,21605
6896,995133,"The Boy, the Mole, the Fox and the Horse",2022-12-25,8.5,327
6897,769,GoodFellas,1990-09-12,8.5,11263
6898,372754,Dou kyu sei – Classmates,2016-02-20,8.5,306
6899,704264,Primal: Tales of Savagery,2019-11-21,8.5,264
6900,238,The Godfather,1972-03-14,8.7,17965
6901,278,The Shawshank Redemption,1994-09-23,8.7,23805
6902,240,The Godfather Part II,1974-12-20,8.6,10843
6903,772071,Cuando Sea Joven,2022-09-14,8.5,236
6904,19404,Dilwale Dulhania Le Jayenge,1995-10-19,8.6,4132
6905,424,Schindler's List,1993-12-15,8.6,14078
6906,129,Spirited Away,2001-07-20,8.5,14314
6907,389,12 Angry Men,1957-04-10,8.5,7280
6908,372058,Your Name.,2016-08-26,8.5,9854
6909,496243,Parasite,2019-05-30,8.5,15751
6910,155,The Dark Knight,2008-07-14,8.5,29734
6911,497,The Green Mile,1999-12-10,8.5,15416
6912,680,Pulp Fiction,1994-09-10,8.5,25189
6913,429,"The Good, the Bad and the Ugly",1966-12-23,8.5,7403
6914,13,Forrest Gump,1994-06-23,8.5,24678
6915,122,The Lord of the Rings: The Return of the King,2003-12-01,8.5,21605
6916,995133,"The Boy, the Mole, the Fox and the Horse",2022-12-25,8.5,327
6917,769,GoodFellas,1990-09-12,8.5,11263
6918,372754,Dou kyu sei – Classmates,2016-02-20,8.5,306
6919,704264,Primal: Tales of Savagery,2019-11-21,8.5,264
6920,238,The Godfather,1972-03-14,8.7,17965
6921,278,The Shawshank Redemption,1994-09-23,8.7,23805
6922,240,The Godfather Part II,1974-12-20,8.6,10843
6923,772071,Cuando Sea Joven,2022-09-14,8.5,236
6924,19404,Dilwale Dulhania Le Jayenge,1995-10-19,8.6,4132
6925,424,Schindler's List,1993-12-15,8.6,14078
6926,129,Spirited Away,2001-07-20,8.5,14314
6927,389,12 Angry Men,1957-04-10,8.5,7280
6928,372058,Your Name.,2016-08-26,8.5,9854
6929,496243,Parasite,2019-05-30,8.5,15751
6930,155,The Dark Knight,2008-07-14,8.5,29734
6931,497,The Green Mile,1999-12-10,8.5,15416
6932,680,Pulp Fiction,1994-09-10,8.5,25189
6933,429,"The Good, the Bad and the Ugly",1966-12-23,8.5,7403
6934,13,Forrest Gump,1994-06-23,8.5,24678
6935,122,The Lord of the Rings: The Return of the King,2003-12-01,8.5,21605
6936,995133,"The Boy, the Mole, the Fox and the Horse",2022-12-25,8.5,327
6937,769,GoodFellas,1990-09-12,8.5,11263
6938,372754,Dou kyu sei – Classmates,2016-02-20,8.5,306
6939,704264,Primal: Tales of Savagery,2019-11-21,8.5,264
6940,238,The Godfather,1972-03-14,8.7,17965
6941,278,The Shawshank Redemption,1994-09-23,8.7,23805
6942,240,The Godfather Part II,1974-12-20,8.6,10843
6943,772071,Cuando Sea Joven,2022-09-14,8.5,236
6944,19404,Dilwale Dulhania Le Jayenge,1995-10-19,8.6,4132
6945,424,Schindler's List,1993-12-15,8.6,14078
6946,129,Spirited Away,2001-07-20,8.5,14314
6947,389,12 Angry Men,1957-04-10,8.5,7280
6948,372058,Your Name.,2016-08-26,8.5,9854
6949,496243,Parasite,2019-05-30,8.5,15751
6950,155,The Dark Knight,2008-07-14,8.5,29734
6951,497,The Green Mile,1999-12-10,8.5,15416
6952,680,Pulp Fiction,1994-09-10,8.5,25189
6953,429,"The Good, the Bad and the Ugly",1966-12-23,8.5,7403
6954,13,Forrest Gump,1994-06-23,8.5,24678
6955,122,The Lord of the Rings: The Return of the King,2003-12-01,8.5,21605
6956,995133,"The Boy, the Mole, the Fox and the Horse",2022-12-25,8.5,327
6957,769,GoodFellas,1990-09-12,8.5,11263
6958,372754,Dou kyu sei – Classmates,2016-02-20,8.5,306
6959,704264,Primal: Tales of Savagery,2019-11-21,8.5,264
6960,238,The Godfather,1972-03-14,8.7,17965
6961,278,The Shawshank Redemption,1994-09-23,8.7,23805
6962,240,The Godfather Part II,1974-12-20,8.6,10843
6963,772071,Cuando Sea Joven,2022-09-14,8.5,236
6964,19404,Dilwale Dulhania Le Jayenge,1995-10-19,8.6,4132
6965,424,Schindler's List,1993-12-15,8.6,14078
6966,129,Spirited Away,2001-07-20,8.5,14314
6967,389,12 Angry Men,1957-04-10,8.5,7280
6968,372058,Your Name.,2016-08-26,8.5,9854
6969,496243,Parasite,2019-05-30,8.5,15751
6970,155,The Dark Knight,2008-07-14,8.5,29734
6971,497,The Green Mile,1999-12-10,8.5,15416
6972,680,Pulp Fiction,1994-09-10,8.5,25189
6973,429,"The Good, the Bad and the Ugly",1966-12-23,8.5,7403
6974,13,Forrest Gump,1994-06-23,8.5,24678
6975,122,The Lord of the Rings: The Return of the King,2003-12-01,8.5,21605
6976,995133,"The Boy, the Mole, the Fox and the Horse",2022-12-25,8.5,327
6977,769,GoodFellas,1990-09-12,8.5,11263
6978,372754,Dou kyu sei – Classmates,2016-02-20,8.5,306
6979,704264,Primal: Tales of Savagery,2019-11-21,8.5,264
6980,238,The Godfather,1972-03-14,8.7,17965
6981,278,The Shawshank Redemption,1994-09-23,8.7,23805
6982,240,The Godfather Part II,1974-12-20,8.6,10843
6983,772071,Cuando Sea Joven,2022-09-14,8.5,236
6984,19404,Dilwale Dulhania Le Jayenge,1995-10-19,8.6,4132
6985,424,Schindler's List,1993-12-15,8.6,14078
6986,129,Spirited Away,2001-07-20,8.5,14314
6987,389,12 Angry Men,1957-04-10,8.5,7280
6988,372058,Your Name.,2016-08-26,8.5,9854
6989,496243,Parasite,2019-05-30,8.5,15751
6990,155,The Dark Knight,2008-07-14,8.5,29734
6991,497,The Green Mile,1999-12-10,8.5,15416
6992,680,Pulp Fiction,1994-09-10,8.5,25189
6993,429,"The Good, the Bad and the Ugly",1966-12-23,8.5,7403
6994,13,Forrest Gump,1994-06-23,8.5,24678
6995,122,The Lord of the Rings: The Return of the King,2003-12-01,8.5,21605
6996,995133,"The Boy, the Mole, the Fox and the Horse",2022-12-25,8.5,327
6997,769,GoodFellas,1990-09-12,8.5,11263
6998,372754,Dou kyu sei – Classmates,2016-02-20,8.5,306
6999,704264,Primal: Tales of Savagery,2019-11-21,8.5,264
7000,238,The Godfather,1972-03-14,8.7,17965
7001,278,The Shawshank Redemption,1994-09-23,8.7,23805
7002,240,The Godfather Part II,1974-12-20,8.6,10843
7003,772071,Cuando Sea Joven,2022-09-14,8.5,236
7004,19404,Dilwale Dulhania Le Jayenge,1995-10-19,8.6,4132
7005,424,Schindler's List,1993-12-15,8.6,14078
7006,129,Spirited Away,2001-07-20,8.5,14314
7007,389,12 Angry Men,1957-04-10,8.5,7280
7008,372058,Your Name.,2016-08-26,8.5,9854
7009,496243,Parasite,2019-05-30,8.5,15751
7010,155,The Dark Knight,2008-07-14,8.5,29734
7011,497,The Green Mile,1999-12-10,8.5,15416
7012,680,Pulp Fiction,1994-09-10,8.5,25189
7013,429,"The Good, the Bad and the Ugly",1966-12-23,8.5,7403
7014,13,Forrest Gump,1994-06-23,8.5,24678
7015,122,The Lord of the Rings: The Return of the King,2003-12-01,8.5,21605
7016,995133,"The Boy, the Mole, the Fox and the Horse",2022-12-25,8.5,327
7017,769,GoodFellas,1990-09-12,8.5,11263
7018,372754,Dou kyu sei – Classmates,2016-02-20,8.5,306
7019,704264,Primal: Tales of Savagery,2019-11-21,8.5,264
7020,238,The Godfather,1972-03-14,8.7,17965
7021,278,The Shawshank Redemption,1994-09-23,8.7,23805
7022,240,The Godfather Part II,1974-12-20,8.6,10843
7023,772071,Cuando Sea Joven,2022-09-14,8.5,236
7024,19404,Dilwale Dulhania Le Jayenge,1995-10-19,8.6,4132
7025,424,Schindler's List,1993-12-15,8.6,14078
7026,129,Spirited Away,2001-07-20,8.5,14314
7027,389,12 Angry Men,1957-04-10,8.5,7280
7028,372058,Your Name.,2016-08-26,8.5,9854
7029,496243,Parasite,2019-05-30,8.5,15751
7030,155,The Dark Knight,2008-07-14,8.5,29734
7031,497,The Green Mile,1999-12-10,8.5,15416
7032,680,Pulp Fiction,1994-09-10,8.5,25189
7033,429,"The Good, the Bad and the Ugly",1966-12-23,8.5,7403
7034,13,Forrest Gump,1994-06-23,8.5,24678
7035,122,The Lord of the Rings: The Return of the King,2003-12-01,8.5,21605
7036,995133,"The Boy, the Mole, the Fox and the Horse",2022-12-25,8.5,327
7037,769,GoodFellas,1990-09-12,8.5,11263
7038,372754,Dou kyu sei – Classmates,2016-02-20,8.5,306
7039,704264,Primal: Tales of Savagery,2019-11-21,8.5,264
7040,238,The Godfather,1972-03-14,8.7,17965
7041,278,The Shawshank Redemption,1994-09-23,8.7,23805
7042,240,The Godfather Part II,1974-12-20,8.6,10843
7043,772071,Cuando Sea Joven,2022-09-14,8.5,236
